fraction	session	J01X	J01Y	J02X	J02Y	J03X	J03Y	J04X	J04Y	J05X	J05Y	J06X	J06Y	J07X	J07Y	J08X	J08Y	J09X	J09Y	J10X	J10Y	J11X	J11Y	J12X	J12Y	J13X	J13Y	J14X	J14Y
20	session_01	30	22.8	24	2.8	12	12.8	22.8	31.2	4.2	19.6	13.8	12.8	13.2	5.6	54.6	18.4	51.6	24.4										
21	session_01	30	22.4	46.2	16.4	11.4	15.2	43.2	30.4	15	28.8	9	20.4	37.2	5.2	30.6	20.8	28.2	29.6										
17	session_All	7.2	2	7.8	13.6	39	8	24	13.2	20.4	13.2	30	23.6	9	7.6	7.2	8.4	23.4	12	7.8	7.6								
23	session_All	13.8	2.4	20.4	2.8	13.2	7.6	42.6	22	8.4	3.2	31.2	21.2	4.8	10	51	33.2	34.8	16	26.4	1.2								
28	session_All	51.6	3.6	7.2	11.2	44.4	32	15	32.4	38.4	18.8	19.2	18.8	56.4	20	52.2	10.4	33	16.4	31.8	1.6								
32	session_All	1.2	8.4	7.8	8	42.6	6	19.8	11.6	12	19.2	3	14.4	3.6	7.6	30	10.8	22.2	13.2	16.8	4								
36	session_All	28.8	8.8	44.4	1.2	28.2	21.2	16.2	37.2	45.6	12	9.6	18.8	52.2	20.4	4.2	26.4	52.2	26.8	46.2	39.2								
40	session_All	57	3.2	44.4	4	48.6	32	18	34.4	42.6	33.6	14.4	1.6	57.6	34.4	9.6	36.8	49.8	22	51.6	39.2								
47	session_All	13.2	8	7.8	1.6	38.4	5.2	45	24	4.2	2.4	21.6	19.2	5.4	20	49.2	35.2	32.4	17.6	13.8	7.2								
57	session_All	13.2	5.6	32.4	22.4	7.2	5.6	21.6	15.2	2.4	38.4	1.8	10.8	6.6	12	22.8	19.6	34.8	17.6	20.4	10.8								
67	session_All	0.6	5.2	5.4	4	0.6	1.2	42	27.2	7.8	28.4	1.2	18.8	9.6	9.6	29.4	9.2	9	10.8	2.4	1.6								
RAW	session_All	57	2	7.2	6	46.2	33.6	17.4	30.4	56.4	36	9	5.6	57	36.8	9	26.4	50.4	24.8	58.2	39.2								
